                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                  1.441,                 1.2742,                 1.7997,                0.77537,                0.57136,                0.68363,                 0.3763,                 1.6022,                 1.2148,                 1.8917,             0.00063875,             0.00063875,             0.00063875
                     57,                 1.4352,                 1.2478,                 1.7868,                0.74895,                0.59427,                0.68886,                0.36955,                 1.6252,                 1.2174,                 1.9066,               0.000614,               0.000614,               0.000614
                     58,                 1.4343,                 1.2588,                 1.7834,                0.80562,                0.57877,                0.70071,                0.39285,                 1.5474,                 1.1729,                 1.8408,             0.00058925,             0.00058925,             0.00058925
                     59,                 1.4377,                 1.2476,                 1.7763,                0.76135,                0.60273,                0.69971,                0.38605,                 1.5648,                 1.1804,                 1.8515,              0.0005645,              0.0005645,              0.0005645
                     60,                 1.4274,                 1.2399,                 1.7631,                 0.7674,                0.59418,                0.69967,                 0.3866,                  1.554,                 1.1899,                 1.8349,             0.00053975,             0.00053975,             0.00053975
                     61,                 1.4203,                 1.2274,                  1.768,                0.76458,                0.59817,                0.70312,                0.39344,                 1.5449,                 1.1837,                 1.8334,               0.000515,               0.000515,               0.000515
                     62,                 1.4141,                 1.2109,                 1.7705,                0.80104,                0.59132,                0.70416,                0.39318,                 1.5527,                 1.1628,                 1.8546,             0.00049025,             0.00049025,             0.00049025
                     63,                 1.4048,                 1.2143,                  1.749,                0.77359,                 0.5976,                0.69759,                0.38777,                 1.5695,                 1.1788,                 1.8623,              0.0004655,              0.0004655,              0.0004655
                     64,                 1.4079,                 1.1972,                 1.7608,                0.75952,                 0.6016,                 0.7023,                0.39124,                  1.576,                 1.1765,                 1.8541,             0.00044075,             0.00044075,             0.00044075
                     65,                 1.3959,                 1.1755,                 1.7458,                0.76347,                0.61587,                0.70899,                0.40092,                 1.5391,                 1.1554,                 1.8218,               0.000416,               0.000416,               0.000416
                     66,                 1.4065,                 1.1939,                  1.749,                0.73523,                0.62728,                0.70059,                0.39226,                 1.5465,                 1.1656,                 1.8368,             0.00039125,             0.00039125,             0.00039125
                     67,                 1.3871,                 1.1801,                  1.738,                0.77292,                0.60031,                 0.7018,                0.39148,                 1.5422,                 1.1783,                 1.8252,              0.0003665,              0.0003665,              0.0003665
                     68,                 1.3925,                 1.1585,                 1.7364,                0.76695,                0.60046,                0.70378,                0.39928,                 1.5341,                 1.1609,                 1.8189,             0.00034175,             0.00034175,             0.00034175
                     69,                 1.3831,                 1.1678,                 1.7312,                0.79275,                0.60331,                0.70676,                0.39798,                 1.5288,                 1.1595,                 1.8232,               0.000317,               0.000317,               0.000317
                     70,                 1.3729,                 1.1454,                 1.7328,                0.76646,                0.61016,                0.70859,                0.39584,                 1.5338,                  1.155,                 1.8256,             0.00029225,             0.00029225,             0.00029225
                     71,                 1.4062,                 1.0404,                  1.671,                0.78531,                0.59247,                0.70263,                 0.3945,                 1.5456,                 1.1603,                 1.8434,              0.0002675,              0.0002675,              0.0002675
                     72,                 1.3887,                 1.0236,                 1.6743,                0.76544,                 0.6153,                   0.71,                0.40495,                 1.5178,                 1.1507,                 1.8156,             0.00024275,             0.00024275,             0.00024275
                     73,                 1.3793,                 1.0215,                 1.6416,                0.80911,                0.57821,                 0.7021,                0.39918,                 1.5397,                 1.1612,                 1.8395,               0.000218,               0.000218,               0.000218
                     74,                 1.3872,                 1.0067,                 1.6561,                0.79784,                0.60616,                0.70824,                0.40421,                 1.5318,                 1.1596,                 1.8322,             0.00019325,             0.00019325,             0.00019325
                     75,                 1.3777,                 1.0012,                 1.6512,                0.78976,                0.60959,                0.70671,                0.40184,                  1.541,                 1.1626,                 1.8437,              0.0001685,              0.0001685,              0.0001685
                     76,                 1.3724,                 1.0015,                 1.6376,                0.80436,                0.59589,                0.70722,                0.40348,                 1.5203,                 1.1598,                 1.8187,             0.00014375,             0.00014375,             0.00014375
                     77,                 1.3684,                0.99265,                 1.6346,                 0.8218,                0.58847,                0.71346,                0.40442,                 1.5298,                 1.1482,                 1.8282,               0.000119,               0.000119,               0.000119
                     78,                 1.3557,                0.98122,                 1.6202,                0.81208,                0.58333,                0.70856,                0.40364,                 1.5349,                 1.1455,                 1.8318,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                  1.365,                0.97738,                 1.6297,                0.79445,                 0.5976,                0.70754,                0.40539,                 1.5238,                 1.1424,                 1.8176,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                  1.365,                0.98338,                 1.6171,                0.77137,                0.61073,                0.70836,                0.40633,                 1.5225,                 1.1452,                 1.8224,              4.475e-05,              4.475e-05,              4.475e-05
