                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5882,                 1.5529,                 1.9295,                0.70961,                0.54053,                 0.6219,                0.31898,                 1.6919,                 1.4343,                 1.9945,             0.00066551,             0.00066551,             0.00066551
                      2,                 1.6511,                 1.6964,                 2.0181,                  0.675,                 0.4903,                0.57267,                0.27984,                 1.7596,                 1.5442,                 2.0504,              0.0013157,              0.0013157,              0.0013157
                      3,                 1.7049,                 1.7662,                 2.0719,                0.71552,                0.50677,                0.60602,                0.30746,                 1.7463,                  1.548,                 2.0052,              0.0019494,              0.0019494,              0.0019494
                      4,                 1.6952,                 1.7973,                 2.0638,                0.68742,                0.49144,                  0.569,                0.27778,                 1.8676,                 1.5821,                 2.1704,              0.0019258,              0.0019258,              0.0019258
                      5,                 1.7024,                 1.7895,                  2.058,                0.64209,                0.49254,                0.54931,                0.27118,                 1.7152,                 1.5771,                 2.0737,               0.001901,               0.001901,               0.001901
                      6,                 1.6882,                 1.7784,                 2.0469,                0.65644,                0.47888,                 0.5574,                0.26999,                 1.8406,                 1.5869,                 2.1628,              0.0018763,              0.0018763,              0.0018763
                      7,                  1.686,                 1.7771,                 2.0442,                0.69666,                0.48231,                0.58383,                 0.2948,                 1.7615,                 1.5167,                 2.0351,              0.0018515,              0.0018515,              0.0018515
                      8,                 1.6782,                 1.7504,                 2.0323,                0.66108,                0.48318,                0.55596,                0.27503,                 1.8091,                 1.6031,                 2.0819,              0.0018267,              0.0018267,              0.0018267
                      9,                 1.6669,                 1.7357,                 2.0279,                0.66145,                0.50057,                0.58931,                0.30474,                 1.7362,                 1.4855,                  1.999,               0.001802,               0.001802,               0.001802
                     10,                   1.66,                 1.7148,                 2.0128,                0.69092,                0.47719,                0.57796,                0.29281,                 1.7458,                 1.5939,                 1.9922,              0.0017772,              0.0017772,              0.0017772
                     11,                 1.6685,                 1.7206,                 2.0228,                0.66193,                0.50178,                0.56655,                0.28519,                  1.783,                 1.5467,                 2.1189,              0.0017525,              0.0017525,              0.0017525
                     12,                 1.6469,                 1.7076,                 2.0058,                0.59366,                0.52226,                0.56455,                0.29661,                 1.6684,                 1.5436,                 1.9975,              0.0017278,              0.0017278,              0.0017278
                     13,                 1.6396,                 1.6799,                 2.0011,                0.65186,                0.53139,                0.59945,                0.31257,                 1.7377,                 1.4353,                 2.0547,               0.001703,               0.001703,               0.001703
                     14,                 1.6389,                 1.6771,                 2.0046,                0.66812,                0.53546,                0.60541,                0.31132,                  1.692,                 1.4244,                 1.9932,              0.0016783,              0.0016783,              0.0016783
                     15,                 1.6385,                 1.6683,                 1.9834,                0.65217,                 0.5605,                0.61359,                 0.3166,                 1.6965,                 1.4543,                 1.9863,              0.0016535,              0.0016535,              0.0016535
                     16,                 1.6368,                 1.6639,                 1.9913,                0.68745,                0.52055,                0.60179,                0.30681,                 1.7228,                 1.4765,                 2.0171,              0.0016287,              0.0016287,              0.0016287
                     17,                  1.628,                 1.6533,                 1.9851,                0.70205,                0.49715,                0.58714,                0.31049,                 1.6523,                 1.4446,                 1.9802,               0.001604,               0.001604,               0.001604
                     18,                 1.6137,                 1.6347,                 1.9644,                0.68546,                0.52283,                0.59883,                0.32515,                 1.6419,                 1.4802,                 1.9444,              0.0015793,              0.0015793,              0.0015793
                     19,                 1.6232,                 1.6459,                 1.9828,                0.68473,                0.51142,                0.58985,                 0.2988,                 1.7805,                 1.4907,                  2.082,              0.0015545,              0.0015545,              0.0015545
                     20,                 1.6031,                 1.6128,                  1.967,                0.70827,                0.51769,                0.61994,                0.33855,                 1.6303,                 1.3849,                  1.937,              0.0015298,              0.0015298,              0.0015298
                     21,                 1.5958,                  1.585,                 1.9547,                0.68788,                0.56164,                 0.6354,                0.32074,                 1.7008,                 1.4056,                 1.9844,               0.001505,               0.001505,               0.001505
                     22,                 1.5901,                 1.5921,                  1.963,                0.67952,                0.55065,                0.62572,                0.32629,                 1.6917,                 1.4405,                 1.9922,              0.0014803,              0.0014803,              0.0014803
                     23,                  1.594,                 1.5882,                 1.9519,                0.70138,                0.54909,                0.63671,                0.33718,                 1.6727,                 1.3572,                 1.9534,              0.0014555,              0.0014555,              0.0014555
                     24,                 1.5771,                 1.5686,                 1.9303,                0.70284,                0.54406,                0.63722,                0.34349,                 1.6605,                 1.3472,                 1.9444,              0.0014307,              0.0014307,              0.0014307
                     25,                 1.5797,                  1.558,                  1.928,                0.72014,                0.55993,                0.65132,                0.34123,                 1.6998,                 1.3441,                 1.9852,               0.001406,               0.001406,               0.001406
                     26,                 1.5618,                  1.506,                 1.9146,                 0.6995,                0.54452,                0.62441,                0.33367,                  1.631,                 1.3701,                  1.971,              0.0013813,              0.0013813,              0.0013813
                     27,                 1.5668,                 1.5128,                 1.9095,                0.72619,                0.55137,                0.64803,                0.34401,                  1.622,                 1.3398,                 1.9391,              0.0013565,              0.0013565,              0.0013565
                     28,                 1.5733,                 1.5022,                 1.9215,                0.72603,                0.54452,                0.64859,                 0.3492,                 1.6489,                 1.3164,                 1.9416,              0.0013318,              0.0013318,              0.0013318
                     29,                  1.561,                 1.5001,                 1.9001,                0.73503,                0.54852,                0.65182,                0.34725,                 1.6419,                 1.3066,                 1.9357,               0.001307,               0.001307,               0.001307
                     30,                 1.5536,                 1.5066,                 1.9061,                 0.7196,                0.56689,                0.65632,                0.34055,                  1.667,                  1.332,                 1.9556,              0.0012822,              0.0012822,              0.0012822
                     31,                 1.5411,                 1.4585,                 1.9033,                0.70969,                0.57021,                0.65121,                0.36078,                 1.5896,                 1.3035,                 1.9039,              0.0012575,              0.0012575,              0.0012575
                     32,                 1.5561,                 1.4863,                 1.9052,                0.72101,                0.56906,                0.66856,                0.36603,                 1.5894,                 1.3004,                 1.8655,              0.0012328,              0.0012328,              0.0012328
                     33,                 1.5389,                 1.4697,                 1.9013,                0.72863,                 0.5782,                0.66515,                0.35058,                 1.6574,                   1.29,                  1.953,               0.001208,               0.001208,               0.001208
                     34,                 1.5372,                 1.4659,                 1.8908,                0.72548,                0.56111,                 0.6519,                0.35702,                 1.5988,                  1.322,                 1.9097,              0.0011833,              0.0011833,              0.0011833
                     35,                 1.5168,                 1.4437,                 1.8861,                0.75295,                0.55765,                0.65449,                0.34512,                 1.6726,                  1.325,                 1.9763,              0.0011585,              0.0011585,              0.0011585
                     36,                 1.5337,                 1.4413,                 1.8884,                0.73191,                0.58276,                0.67012,                0.35863,                 1.6195,                 1.2822,                 1.9144,              0.0011337,              0.0011337,              0.0011337
                     37,                 1.5217,                 1.4319,                 1.8726,                0.73368,                0.55422,                0.65518,                0.36724,                 1.5744,                 1.2785,                 1.8729,               0.001109,               0.001109,               0.001109
                     38,                 1.5298,                 1.4377,                 1.8758,                0.73337,                0.57763,                0.66891,                0.36436,                 1.6155,                 1.2887,                 1.9062,              0.0010842,              0.0010842,              0.0010842
                     39,                 1.5121,                 1.4143,                 1.8599,                0.75342,                0.55936,                0.67144,                0.36984,                 1.5741,                 1.2451,                 1.8587,              0.0010595,              0.0010595,              0.0010595
                     40,                 1.5004,                 1.3999,                 1.8514,                0.74205,                0.58562,                 0.6728,                0.36076,                   1.65,                 1.2702,                  1.941,              0.0010347,              0.0010347,              0.0010347
                     41,                 1.5099,                  1.399,                 1.8524,                0.72952,                0.59247,                0.68501,                0.36211,                 1.6347,                 1.2372,                 1.8986,                0.00101,                0.00101,                0.00101
                     42,                 1.4899,                 1.3932,                 1.8571,                0.73643,                0.57249,                0.66285,                0.36815,                 1.5735,                 1.2587,                 1.8764,             0.00098525,             0.00098525,             0.00098525
                     43,                 1.5075,                 1.3837,                 1.8495,                0.74326,                0.57991,                0.67586,                0.36274,                 1.6065,                 1.2589,                 1.8843,              0.0009605,              0.0009605,              0.0009605
                     44,                 1.4884,                 1.3718,                 1.8412,                0.77769,                0.57305,                0.67565,                0.36926,                 1.5876,                 1.2437,                 1.8717,             0.00093575,             0.00093575,             0.00093575
                     45,                 1.4851,                 1.3626,                   1.83,                0.72698,                0.59589,                0.67788,                0.35988,                 1.6286,                 1.2553,                 1.9057,               0.000911,               0.000911,               0.000911
                     46,                 1.4881,                 1.3554,                 1.8333,                0.74411,                0.59254,                0.68379,                0.37513,                 1.5973,                 1.2314,                 1.8792,             0.00088625,             0.00088625,             0.00088625
                     47,                 1.4832,                 1.3349,                 1.8286,                0.77441,                0.56221,                0.68163,                0.37696,                 1.5911,                 1.2402,                 1.8693,              0.0008615,              0.0008615,              0.0008615
                     48,                 1.4825,                 1.3314,                 1.8328,                0.75747,                0.57934,                0.68734,                0.38444,                  1.556,                 1.2336,                 1.8282,             0.00083675,             0.00083675,             0.00083675
                     49,                 1.4739,                 1.3263,                 1.8211,                0.80303,                0.55708,                0.68171,                  0.371,                  1.599,                 1.2285,                 1.8846,               0.000812,               0.000812,               0.000812
                     50,                 1.4515,                 1.2844,                 1.8099,                0.74948,                0.59532,                0.68909,                0.37707,                 1.5626,                 1.2086,                 1.8424,             0.00078725,             0.00078725,             0.00078725
                     51,                 1.4707,                 1.3109,                  1.815,                0.77731,                0.56982,                0.68026,                0.37438,                 1.5672,                 1.2095,                 1.8621,              0.0007625,              0.0007625,              0.0007625
                     52,                 1.4589,                 1.3017,                   1.81,                0.74195,                0.59817,                0.68767,                0.37835,                 1.5779,                 1.2168,                 1.8684,             0.00073775,             0.00073775,             0.00073775
                     53,                 1.4524,                 1.2898,                 1.8055,                0.76118,                0.57851,                0.69201,                0.38554,                 1.5589,                  1.208,                 1.8351,               0.000713,               0.000713,               0.000713
                     54,                 1.4319,                 1.2693,                 1.7903,                0.76947,                0.57877,                 0.6885,                 0.3902,                 1.5392,                 1.1979,                 1.8253,             0.00068825,             0.00068825,             0.00068825
                     55,                 1.4504,                 1.2821,                 1.7968,                0.73878,                0.60331,                0.69707,                0.38466,                 1.5654,                 1.1766,                 1.8395,              0.0006635,              0.0006635,              0.0006635
